Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
tbb::internal::machine_load_store<tbb::task**, (unsigned long)8>::store_with_release                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.002s     0.002s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.002s         0s         0.002s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::store                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.002s         0s         0.002s
tbb::internal::market::adjust_demand                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.002s         0s             0s
tbb::internal::rml::private_worker::wake_or_launch                                                                                                                                                                                                                                                                                                                                               libtbb.so.2                  0.002s         0s             0s
tbb::internal::task_stream<(int)3>::empty                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.002s         0s             0s
tbb::task_group_context::init                                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.002s         0s             0s
tiny_cnn::input_layer::back_propagation                                                                                                                                                                                                                                                                                                                                                          cnn                          0.002s         0s             0s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::label2vector                                                                                                                                                                                                                                                                                                   cnn                          0.002s         0s             0s
tiny_cnn::network<tiny_cnn::mse, tiny_cnn::gradient_descent_levenberg_marquardt>::test                                                                                                                                                                                                                                                                                                           cnn                          0.002s         0s             0s
[Import thunk memset]                                                                                                                                                                                                                                                                                                                                                                            cnn                          0.001s         0s             0s
[Import thunk operator delete]                                                                                                                                                                                                                                                                                                                                                                   cnn                          0.001s         0s             0s
[Import thunk tbb::internal::allocate_child_proxy::allocate]                                                                                                                                                                                                                                                                                                                                     cnn                          0.001s         0s             0s
[Import thunk tbb::spin_rw_mutex_v3::internal_acquire_reader]                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.001s         0s             0s
[Loop at line 48 in _INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_pause]                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.001s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.001s         0s         0.001s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.001s         0s         0.001s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.001s         0s         0.001s
_INTERNAL_23_______src_tbb_arena_cpp_3f34bbdd::__TBB_machine_cmpswp8                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.001s         0s             0s
_INTERNAL_23_______src_tbb_arena_cpp_3f34bbdd::__TBB_machine_fetchadd4                                                                                                                                                                                                                                                                                                                           libtbb.so.2                  0.001s         0s             0s
